Julian_Date,Date,Year,Real,source
316,12-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
317,13-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
318,14-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
319,15-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
320,16-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
321,17-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
322,18-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
323,19-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
324,20-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
325,21-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
326,22-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
327,23-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
328,24-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
329,25-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
330,26-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
331,27-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
332,28-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
333,29-Nov,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
334,30-Nov,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
335,1-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
336,2-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
337,3-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
338,4-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
339,5-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
340,6-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
341,7-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
342,8-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
343,9-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
344,10-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
345,11-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
346,12-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
347,13-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
348,14-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
349,15-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
350,16-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
351,17-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
352,18-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
353,19-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
354,20-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
355,21-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
356,22-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
357,23-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
358,24-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
359,25-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
360,26-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
361,27-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
362,28-Dec,1,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
363,29-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
364,30-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
365,31-Dec,1,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
1,1-Jan,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
2,2-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
3,3-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
4,4-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
5,5-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
6,6-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
7,7-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
8,8-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
9,9-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
10,10-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
11,11-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
12,12-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
13,13-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
14,14-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
15,15-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
16,16-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
17,17-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
18,18-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
19,19-Jan,2,0,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
20,20-Jan,2,1,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
21,21-Jan,2,1,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
22,22-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
23,23-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
24,24-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
25,25-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
26,26-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
27,27-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
28,28-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
29,29-Jan,2,2,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
30,30-Jan,2,3,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
31,31-Jan,2,3,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
32,1-Feb,2,3,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
33,2-Feb,2,4,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
34,3-Feb,2,4,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
35,4-Feb,2,4,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
36,5-Feb,2,7,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
37,6-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
38,7-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
39,8-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
40,9-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
41,10-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
42,11-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
43,12-Feb,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
44,13-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
45,14-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
46,15-Feb,2,9,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
47,16-Feb,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
48,17-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
49,18-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
50,19-Feb,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
51,20-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
52,21-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
53,22-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
54,23-Feb,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
55,24-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
56,25-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
57,26-Feb,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
58,27-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
59,28-Feb,2,10,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
60,1-Mar,2,11,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
61,2-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
62,3-Mar,2,14,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
63,4-Mar,2,16,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
64,5-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
65,6-Mar,2,16,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
66,7-Mar,2,20,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
67,8-Mar,2,20,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
68,9-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
69,10-Mar,2,20,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
70,11-Mar,2,20,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
71,12-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
72,13-Mar,2,20,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
73,14-Mar,2,21,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
74,15-Mar,2,23,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
75,16-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
76,17-Mar,2,24,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
77,18-Mar,2,25,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
78,19-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
79,20-Mar,2,33,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
80,21-Mar,2,38,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
81,22-Mar,2,43,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
82,23-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
83,24-Mar,2,43,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
84,25-Mar,2,45,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
85,26-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
86,27-Mar,2,49,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
87,28-Mar,2,52,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
88,29-Mar,2,55,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
89,30-Mar,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
90,31-Mar,2,57,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
91,1-Apr,2,58,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
92,2-Apr,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
93,3-Apr,2,59,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
94,4-Apr,2,60,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
95,5-Apr,2,60,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
96,6-Apr,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
97,7-Apr,2,60,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
98,8-Apr,2,60,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
99,9-Apr,2,,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
100,10-Apr,2,60,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
101,11-Apr,2,60,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
102,12-Apr,2,61,"Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. "
