year ,author,jounral,species,fLength_cm,prey,turbidity_NTU,reactionDistance_cm
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,0.407185629,123.2135729
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,239.8427756,1.002302921
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,94.06008028,4.045309234
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,101.6914341,4.985377939
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,38.51274269,9.524559529
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,22.02195225,13.00422699
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,18.21798152,14.00823262
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,20.44906968,14.94685402
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,14.42997374,17.02229279
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,12.22549049,19.43376228
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,10.32802796,20.50528054
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,7.77395613,18.89655583
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,0,34.97477854
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,2.477981772,32.02746479
1993,Gregory, Can J of Fish and Aq Sci,Chinook,6,Plankton,0,29.8826404
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,43.31087584,10.07905138
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,39.12415784,13.63636364
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,37.4879692,9.881422925
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,33.68623677,9.486166008
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,31.37632339,19.56521739
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,29.88450433,15.41501976
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,27.18960539,17.78656126
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,25.74590953,19.16996047
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,25.0240616,16.60079051
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,24.25409047,17.78656126
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,23.82098171,16.79841897
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,23.82098171,14.62450593
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,23.86910491,11.85770751
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,22.32916266,22.92490119
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,21.8960539,20.15810277
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,20.8373436,23.3201581
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,19.8267565,22.52964427
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,19.15303176,24.3083004
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,18.47930703,23.71541502
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,14.6294514,21.14624506
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,13.76323388,31.02766798
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,13.95572666,39.92094862
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,14.38883542,34.98023715
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,15.30317613,35.17786561
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,16.55437921,33.59683794
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,10.97208855,37.54940711
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,10.10587103,41.10671937
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,8.902791145,30.03952569
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,7.025986526,49.20948617
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,8.469682387,51.77865613
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,9.672762271,57.50988142
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,12.12704524,54.15019763
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,0.529355149,97.6284585
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,0.62560154,85.57312253
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,0.673724735,81.81818182
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,1.010587103,76.87747036
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,0.481231954,74.50592885
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,1.154956689,66.00790514
2001,Sweka,Trans amer fish Soc,Brook Trout,14,House Fly Lavre,4.331087584,83.39920949
